0,1,2,3,4,5,6,7,8,9,10,11,12,label,filename
-305.31567,79.40431,13.754716,20.334076,9.835543,-5.117552,-17.615072,3.756694,2.6970117,-5.39842,-10.686092,-2.4480717,-3.4546216,lebanon,english505
-333.99814,86.31106,0.0007127193,6.3315454,-2.8312774,-6.2611485,-6.1950126,8.277659,-18.21946,-13.898518,-15.067824,-14.6771755,-7.5918193,netherlands,dutch43
-215.89516,95.11036,16.41528,38.516266,17.04551,0.86956954,1.8089283,-2.4151835,-6.958449,1.6316122,-4.0104995,4.5719724,-5.664376,canada,english301
-225.2444,74.282745,23.674494,34.301865,12.137239,15.81771,-8.485128,-13.588648,-11.487216,1.0405736,-7.3292093,4.844837,-9.920634,usa,english142
-294.10788,122.90927,12.090055,44.449936,-17.965275,-0.9994579,-6.519984,7.596674,-14.169602,-8.519593,-8.7469845,-5.689569,-0.8773008,algeria,french27
-294.1775,112.42279,12.606414,35.554375,1.6392208,18.461592,-0.8310819,5.4850817,4.7518463,-8.097784,7.2464128,-3.0406778,-2.6653576,venezuela,spanish109
-320.15582,107.55565,37.432457,40.927547,21.773848,5.560259,-11.093581,7.130756,4.8145833,-3.3933299,-9.740889,-2.1856508,-8.821799,south korea,korean15
-339.0304,73.00461,-5.653634,42.018383,-10.582416,-15.354188,-38.56694,-15.556809,-13.842449,-14.1574,-7.257513,1.9789281,-11.594299,belgium,dutch6
-270.57748,95.37416,16.053003,16.256338,11.458415,6.007796,0.23748396,1.5666358,3.256564,8.910504,-0.2525125,-3.791155,-5.507261,latvia,latvian3
-247.794,121.7662,-14.901059,45.560757,-0.21270229,7.8690386,-22.705688,-6.629646,-15.494844,-5.420619,-2.7107394,-6.177608,9.928365,france,french39
-283.1509,115.242386,15.290174,26.55327,8.635462,10.049097,-0.7046371,-2.0472505,-5.6895185,5.6297946,-3.19334,3.8311431,-5.6914077,brazil,portuguese38
-311.46307,97.49039,-3.043711,34.83998,-16.8799,10.397132,-18.80994,1.179023,-10.624737,0.884606,-4.498461,-0.8037359,-2.0208604,,lao2
-295.8325,84.48011,10.4756,25.158411,-2.9257357,1.6090871,-6.684009,-14.932648,-10.756352,-7.167352,-10.252411,-3.5385969,-4.6599603,sri lanka,tamil4
-292.23563,132.07616,19.781977,43.45529,21.241549,3.544161,2.2346084,5.007893,-2.5587997,-7.2713084,-2.678601,-1.5694505,-6.1563888,tunisia,french2
-269.78375,130.34206,-49.178883,19.896542,-5.2206664,-9.547256,2.6500058,-7.955082,-4.1088076,6.050708,-4.028124,-6.3823113,3.5158906,uk,english440
-315.82022,57.172497,-35.22017,6.9956737,-0.33700264,-11.735912,-38.146717,-21.52789,-20.361237,-3.7068803,-25.184568,-6.1555767,-0.04922362,usa,english536
-331.37488,96.21699,15.453719,42.372322,0.33354294,-0.39427924,-13.423135,2.7627652,-0.8800273,-1.4499714,1.3782425,-0.8789617,-13.14875,india,tamil5
-272.06076,94.18886,-8.675958,44.15461,5.0639386,4.725535,2.9870813,-4.0586185,0.18302175,1.7995325,0.93511486,-1.2110299,-0.72781414,canada,english61
-315.00812,101.236244,-0.34327477,31.334526,-3.6413648,2.7238417,-10.401568,-6.8837028,-13.33054,-11.4714365,-7.318704,-8.739879,-2.8047078,sri lanka,sinhala6
-330.26776,81.99182,-22.14716,15.602607,5.618426,-2.6433294,-4.527696,-14.216636,-2.8998935,-1.1143036,0.18760508,5.647649,2.936504,canada,finnish5
-312.1456,109.06113,15.506373,36.483242,25.321215,5.3481607,-5.368734,2.7900198,-2.7898676,-5.2122526,-6.33345,-3.0144496,-10.131454,syria,arabic2
-322.39285,98.720345,-26.103401,35.968353,-15.130039,-16.356153,-28.458563,-12.288312,-17.906242,-22.086048,-15.570528,-8.985373,-6.0306525,netherlands,dutch8
-328.0517,53.9969,-9.145983,-2.5786734,-14.889028,-15.343531,-22.274553,-7.8675494,-19.678614,-3.5609071,-13.535267,-4.8334813,-15.79926,usa,english576
-290.59906,74.15022,7.3208237,5.153655,-3.1187558,-12.29648,-16.41573,-13.650616,-10.095302,-10.23109,-16.81837,-2.9830465,-12.131557,usa,english510
-214.00273,92.513695,4.322978,22.612337,19.37523,10.9482565,7.3369784,11.87405,0.13901868,7.727555,8.7958975,4.7047896,-6.7089853,usa,english431
-274.8385,67.62814,4.584196,17.42906,-2.5267537,-20.496851,-22.751795,-8.9093485,-18.60036,-13.2395935,-13.275733,-4.627699,-14.9980345,nepal,nepali13
-314.22058,115.71583,-6.4421625,38.280697,1.0620509,19.879814,-13.457361,3.0604434,-4.471819,-3.1319847,-4.7929606,-11.478855,-3.3107214,usa,english382
-364.47693,78.638245,2.6186688,34.956947,14.889971,3.619825,1.3729109,-8.365121,-5.3464994,5.7180815,-4.9029884,-0.6823503,0.2804315,bolivia,spanish112
-164.91443,68.38742,-24.197403,23.394255,-1.9908571,-3.993223,-15.672172,-19.316116,-10.159629,-9.494882,-4.106089,3.459085,-8.8203745,macedonia,macedonian16
-223.88113,71.25889,-7.135053,5.8708506,-11.971859,-15.209305,-24.698397,-10.380867,-20.99449,-5.669881,-15.1994295,-4.7569795,-4.7861466,tajikistan,tajiki2
-371.20764,48.466038,24.417007,9.918174,2.780318,-4.181108,1.5575298,1.7656887,-21.411602,-1.2505616,-4.0009327,-7.2124133,-7.209398,canada,english29
-259.79883,104.47631,-1.5465893,45.00095,30.362118,3.0487528,25.030075,13.482788,-5.2298617,16.883749,2.476794,11.546337,3.0580788,usa,english376
